v1,v2
ham,Is  Fuel  Really Costly? GO AHEAD  READ ON.. I filled up my vehicle's fuel tank  and I thght fuel has become really expensive . But whn I compared it with other  liquids nd with some calculations   I felt a little better. Here r d results below.. Petrol : Rs. 64.97 per litre.. Coca Cola 330ml can : Rs.25 i.e. Rs.76 per litre.. Nariyal paani  200ml Rs.25 i.e. Rs. 125 per litre.. Pantene conditioner 400ml Rs.165 i.e. Rs.413 per litre.. Parachute oil 100ml Rs21 i.e. Rs210.00 per litre.. n dis is d REAL KICKER Lexmark inkjet color ink cartridge  21ml Rs.950 i.e. Rs.45238 per litre..!! So think before u say anythng...... So don't curse  Petrol  rates ? b glad ur byk/car doesn't run on ink cartridge  coke  hair oil etc..:-):-D;-) JAO AUR PETROL PHUKOO..!! :)  
ham,In raghav sir cls  
ham,In our life hapiness is more imp than smile because smile cums from lips but  happiness cums from heart.......:-D 
ham,Why do girls rub their eyes when they get up in the morning? . . . coz they dont have balls to scratch! 
ham,In my dream  U & ME went 2 a wishwell  I bent down threw a coin & made a wish  U bent down a litle more N fell into d well.. I shouted  'Oh teri it works'  
ham,In mrng around 12pm.  
ham,In maths exam  Santa got one question.. Prove Sin x = 6n.. Santa cancelled 'n' from both the sides. Then six = 6 & wrote Dont mess with Santa d great. :-) 
ham,In lyf relations have many names...But the best 1 is FRIENDSHIP...Mom says- Tell me beta wats ur prblm .I m like ur frnd na!..Dad says- Dnt feel scared .Take me as ur frnd beta....Bro/sis says-Come on buddy dnt hide anythng frm me...I m like ur frnd....Lover says- Come on sweetheart...Treat me as ur frnd........Only frnd says: ha mujhe kyo bataega .I m not ur frnd na.....dedicated to al my frnds! 
ham,in lyf god dun gv u d ppl u want..insteadt he gvs u d ppl u need 2 hurt u 2 luv u & 2 make u xactly d way he wntsu 2 b THE BEST gunnyt!!! - via WAY2SMS.COM  
ham,In life  we sometimes feel that all doors r now closed 4 us... If that happens with U.. . . . . . . . . . . . . . . Contact  DAYA- CID...:- Tod Dega...:-D  
ham,In life  we sometimes feel that all doors are now closed for us.... If that happens with you  . . . . . . . . . . . . . Contact  DAYA- CID. :-D:-P  
ham,irst no. Is 7688443092262767 and the second no. Is 457352573996622 
ham,In Life We Somtimes Feel That All Doors r Now closed 4 Us If That Happens In Yor Life  Remember These Words- A CLOSED DOOR ISN'T ALWAYS LOCKED... 
ham,Why do engineers sleep for long hours..?? fantastic answer said.. our dreams r always big...:-)  
ham,In Life there are 5 things u shud never lose...... +ve Attitude...Heart...Hope...Self respct...and...Well u know the sender's name 
ham,In Life there are 5 things U should never lose.+ve AttitudeTrustHopeSelf respect&Well ab aur kya bataon  U know the senders name..gud mrng -) 
ham,In life many people help u when it suits THEM  But very few help u when it suits YOU  Make the FEW ur FRIENDS but Be the FEW to the MANY....gudnght:-):-):-):-)  
ham,In life LOVE is never planned nor does it happen for a reason. But when LOVE is real  It becomes your PLAN for life and your reason for living...:) 
ham,In life if you dont adore or appreciate anything you will be filled with negativity n so a person can fall into depression. . Good morning. . Jai sri ram :-) 
ham,In lif  dnt b slow so dat U miss me .. ..Dnt be 2 fast dat I miss U .. ..Jst Be Wid me  So dat we R 2gethr 4 d MOMENT called FOREVER.. ...:-) tc 
ham,In library... 
ham,In lab??? 
ham,Irony of lyf: Footwears dat v wear r sold in AC shwrooms bt vegtabls dat v eat  r sold on footpath. Ppl v love  ignore us bt Ppl v ignore  love us.!! Gudnite 
ham,In lab 2. 
ham,In japan_ Chin cha chu In south africa_ Hula hula hu In china_ Chin pang pu In Hawai_ Hu Lu Lu . . . In india_ Pagal hai tu!  
ham,In HAPPY moment- Dn't forget me In Difficult moment- trust me In Quiet moment- call me In Painful moment- tell me & In Free moment-miss me.:-)  
ham,In future How will i identify ur kids in clasroom? Its simple i ll just check who is erasing his notes wen d teacher is cleaning d board!  gudnyt  
ham,In frndship words can go unspoken  yet still b undrstood  Thats y I'm sure tat though i don't say it often u knw hw I value U. n u knw I mean it! 
ham,In exam hall a girl 2 santa: mujhe bas is ans ki starting bata do.Baki main likh lungi. SANTA ne dhyan se idhar-udhar dekha  fir dhire se bola: The 
ham,In Europe they didn't know what 'shortage' meant. In China they didn't know what 'opinion' meant. In the Middle East they didn't know what 'solution' m  
ham,In English- Gd 9t. In Deshi- Subhratri.In Urdu- Sabbakhair.In Telgu- Pandankopo.Apun ka style chal ludhak le 
ham,In English- Gd 9t. In Deshi- Subhratri. In Urdu- Sabbakhair. In Telgu- Pandankopo. Apun ka style chal ludhak le 
ham,why didn't you call? :( 
ham,Irony at its best...-  Two questions asked to indian women in a survey - Q- Do u believe in having sex with a total stranger ? A- Yuck !! Never. Q- Do u believe in arranged marriages ?  A- Yes. Ofcourse ! ;);) 
ham,IN ENGLISH gd nit IN HINDI shubh ratri IN URDU shabba khair IN KANNAD yara nadi IN TELUGU pandanko po APUN KA STYLE chal ludak le. GUD.NGT  
ham,In D Xam A Studnt Wasnt Prepard Lft D Page BlankN At D Bottom drew Flowrs NWrote.In D Memory Of My Memory which Recntly Passed Away.:-D  
ham,In d Life  We don't need many Relationships to be maintained.. We just need to see that the Relationship We have maintained  has Life in it.! Gud nite!  
ham,In d Book of Life d Page Yestrdy is over d Page 2day is being writen n d page future is blank.So write d Best U can coz on dis Book Eraser dosnt work gd nyt 
ham,In college she came in my life I looked at her. She came n began 2 speak I didnt listen n when she began 2 leave I ran after her requestin Mam..mam ATTENDANCE. 
ham,In cls. Bol?  
ham,In cls  
ham,Why dere ws no need? Bad mein mein hi fasta  
ham,in class.  
ham,in class? 
ham,ironically  i feel d exact same way u used to feel abt me several months bck. i miss u n wana tok to u wen m nt on d fone wid u. bt i get so pisd off n disgusted by u d moment i tok to u  tht i wana disconnect immediately without evn saying bye. ps- don't bother calling  coz guess wot? m nt interested in toking to u! gn. 
ham,in class :* also battery little low. 
ham,in class :* 
ham,In class :-/ 
ham,in class 
ham,in case u stil haven't told ur mom tht m nt coming...then u cn tell her tht evn u didn kno n tht all d calls u misd of myn  wer to tell u tht i hv to go to colg tom(today) to see my pprs so i cnt meet u. n if u cn make ur mom stay away during d second half on saturday  den it is on. 
ham,In case of fire read this message..............I SAID IN CASE OF FIRE YOU GOBAR! 
ham,In car ryt nw. Text me or w8 till i reach der. 
ham,In between if u get ne break talk to me 
ham,Why are Earthquakes increasing? . . With 300 crore people making LOVE every night around the world how can u expect the Earth to be still!!  :-D:-D:-D  
ham,In any relationship  the essence of trust is in it's bond.So  hold the hand of the person whom you love  rather than expecting them to hold urs. .! :-)  
ham,Ironical Thought So TrUe :- Loneliness is a Special Enjoyment When Chosen by Ourself...:-) Bt Hard 2 Digest When Gifted by OthErs..  
ham,In an interviewInterviewer: How does an electric motor run?Santa: Dhhuuuurrrrrrrrrr. Inteviewer shouts: Stop it.Santa: Dhhuurrrr dhup dh*smsgupshup.com 
ham,In all it's festive glory comes Christmas & brings a chance to wish u moments 2 rejoice throughout d year. M RR  CHRI TMA   & HAPP  N W   AR        nitin  
ham,IN ADVNCE..:-) may god bless u in 2011! 
ham,In a party  a beautiful girl aproached a guy n asked-r u goin 2 dance? Guy felt so happy and said yes D girl said thats gud so can i have ur chair:-D:-D 
ham,In a park 2 lovers eating chips by lookng into each other's eyes...  Girl: Dear wt r u thinkng rite now? Boy: tu mujse zyada chips kha rhi hai bhukki.  
ham,In a lift man's elbow acidntly touchd lady's brest Man-If ur heart is as soft as ur breast u'll 4gve me Ldy-If ur penis is as hard as ur elbow m in Room82. :D  
ham,In a Kiss: 0.7gm protein 0.45 gm fat 0.19 gm chemical 50 variety of bacteria will die.. This is true.. So catch ur lover n start kissing and b healthy... Gn  
ham,In a crowded bus  a boy touches a girl's hips... Girl: dekhiyen  aap ye achchha nahi kar rahe hai. Boy: itni bhid mein isse achchha kaise karu?  
ham,In a class lady teacher to students Always use condom to prevent aids. A girl:mam agar apko koi kahe ki kulfi ko lifafe me dalkar chuso to kya apko swad aayega  
ham,In a Botany class  Teacher-Its b'coz of the growth harmones  a ripen fruit falls off the tree! Sardar-Poor Newton! He thought they fall coz of gravity!;-) Gn  
ham,irl: What Do You Prefer- Legs or Breasts??? Sardar: I Love Pussy! Girl Slaps him & says : You are not in a whore house. This is Kentucky Fried Chicken.(KFC 
ham,In a battle  a soldier prepared to bring his wounded friend back from the field. His Captian said   Its of No use! ur friend must be dead. But soldier still goes &  brings back his friend. Seeing the dead body  Captain says I told you its of no worth. He's dead. The soldier replies.... No sir  it was really of worth. When I got to him  my friend saw me  smiled & said his last words.  I KNEW U'll COME. .  
ham,In a battle  a soldier prepared to bring his wounded friend back from the field. His Captian said   Its of No use! ur friend must be dead. But soldier still goes & brings back his friend. Seeing the dead body  Captain says I told u its of no worth. He's dead. The soldier replies No sir  it was really of worth. When I got to him  my friend saw me  smiled & said his last words.  I KNEW U'll COME. . Dedicated to allGreat friends.. 
ham,In a bathroom   a boy touches a girl everywhere ! U know whose that boy ? Stupid it's lifeboy soap ! Dirty ppl alwz think drty..  
ham,Why are condoms transparent?? so that sperms can atleast enjoy the scene even if their entry is restricted...  
ham,In a Bar  a man attended a phn-call:  Hello! Yes Honey. Wife: Darling  I'am in a shopping mall. Shall I buy Jewellery worth Rs. 1 LAKH? Man: Sure Honey. Wife: 1 Silk-Saree worth Rs. 20000 dear  shall I? Man: One saree not enough honey  tak 1 more. Wife: Ok dear  I hv ur credit-card. Shall I use now? Man: Sure  with pleasure. All frnz asked him aftr he put down his mobile: U luv ur wife dis much? Man: EXCUSE ME  WHO's MOBILE IS THIS?  
ham,In a bar  a man attended a call: Hello. . Yes Honey. Wife: Darling  I'm in shopping mall. Shall I buy jewellery worth Rs. 1 lakh ? Man: Sure Honey. Wife: 1 silk saree worth Rs.20000  shall I ? Man: 1 saree nt enough honey  take 1 more. Wife: Ok dear  I hv ur credit-card. Shall I use nw? Man: Sure  with pleasure. All frnds asked him after he put down his mobile: U luv ur wife dis much? Man: EXCUSE ME  WHO'S MOBILE IS DIS?  
ham,In 3 words i cn sum up  Evrythng i learnd abt lyf: it goes on..'' Evrythng i learnd abt luv: it doesn't last.. Evrthng i learnd abt ppl: dey change fast.. 
ham,In 2 mins  gng to get rdy 4 colg. 
ham,In 1980 IDBI rejected Ambani's loan..bt nw Ambani is plannin 2 buy IDBI. Dis shows nthng is imposble.. Today ICICI rejected my loan... Anywaz.. Gud nyt  
ham,In 1935 american govt. had killed a person on 1st satday of Aug  the next day his frend died commiting suicide.In his memory americon govt. had declared 1st Sunday of every Aug as Friendship day.On dis 73rd friendship day.I wish u 2 send dis story 2 all friends '!HAPPY FRIENDSHIP DAY IN ADVANCE 
ham,irl: kon ho tum boy: hasrat tumharÃ¬ girl: takte ho kya ? boy: surat tumhari. girl: karte ho kya? boy: pooja tumhari girl: kafir ho kya? boy: aise he sahi girl: chahte ho kya ? boy: mohhabat tumhari girl: pachtao ge? boy: kismat hmari. girl: married hoon mein? boy: pehle bhonk Deti Manhoos narii 
ham,Yr dis week toh i hav my summr prjc evaluatn..so m reely bzy..may b nex week den.. u'r free til wen?  
ham,in ;->:):-PB-) 
ham,Imprtance of THUMB - child use it 4 chewing  Illiterate ppl use it 4 sign  winners 4 victory & my FANS use it 4 reading my msgs Oh..U too? Crazy fans!  
ham,Impossible may be spelled asI m possible..........buh.....nevr spell Rajnikant asRajni cnt.it hurts. MIND IT ;) 
ham,Important News..My heart4 Sale..100%Discount..PlzInformToAllUrFemale friends...!!Last date istomorowFebruary14th.. so hurry up..! 
ham,IMPORTANT MSG:-DrIviNg krTe TiMe DriNk Na kaRe Qki SPEED BREAKER AA JAANE SE PEG GIR SAKTA HE..!! 
ham,Important Health tips:> Answer the phone by left ear.> Dont take medicine with cold water.> Dont have huge meals after 5 pm.> Drink more water in the morning  less at night.> Best sleeping time is from 10 pm to 4 am> Dont lie down immediately after taking medicine.> When battery is down to last bar  dont answer the phone  as the radiation is 1000 times stronger.! Convey this to those whom u care for.Kindness costs nothing... 
ham,Important Health Tips: >Answer the phone by left ear. >Dont take medicine wd cold water. >Dont have huge meals after 5pm. >Drink more water in the morning  less at night.  >Best sleeping time is from 10 pm to 4 am.  >Dont lie down immeditely after taking medicine. >When battery is down to last bar dont answer the phone as the radiation is 1000 times stronger. >Donot put the phone to ur ear immediately after dialing the no. as the radiations are maximum and can damage the ear. Let the caller pick the call then put the phone to ur ear. Forward this to people you care about. Kindness costs nothing.  
ham,IMPORTANCE OF PERCENTAGE...  (%).. BOY- Tere 12th me kitne percentage the? GIRL- 97% B- Baap re Itne me to kisi gareeb k 2 bache pass ho jate...  
ham,Why a person with a broken heart does not need General Knowledge ?????????? cz 'Jab Dil hi toot gaya  toh  'G.K'  kya karenge!!  
ham,ZINDGI mein kuch lamhe khas ban gaye Mile to MULAQAT or Bichde to YAAD ban gaye kuch lamhe dhire dhire fisalte chale gaye par jo dil se na gaye vo aap ban gye. 
ham,IRL: I'm sure ki duniya mein sab se badi tumhari Lulli hai! GUY: (excited) Achcha! Woh kaise? GIRL: Kyonki is ke baad Lund ki category shuru hoti hai. 
ham,Importance of percentage.. Boy: Teri 12 me kitni %age thi? Girl: 97%..  Boy: Baap re! Itne me to kisi gareeb k 2no bacche pass ho jate..!!  
ham,Immediately. 
ham,Imitinef Mercilet' is a medicine which cures blood cancer. Its available free of cost at Adyar Cancer Institue in Chennai  Banglore  Trivandrum  Kovai Rama Krishna hospital. Create Awareness. It might help someone. Forward to as many as U can. IF NOT  4WARD ATLEAST 2 ONE WHO CAN FORWARD MANY.  
ham,ime: 63 mins approx 
ham,Imagine.. Urself in a boat which is sinking. Sharks all round u.Wat u can do 2save ur self? very simple yaar.. stop imagining..  
ham,IMAGINE u n me joined NASA AFTER 1 MONTH  they will change their name frm NASA to SATYANASA ;-) 
ham,Imagine the world widout GIRLS...galiya sunsancollege viranduniya pareshantanha insanna jaanuna jaanhar taraf bas  DOSTANA& JAI HANUMAN.!! 
ham,Imagine 10years from now!Ul be a gud spouse! A parent of 2 mayb. Gettin a chance 2 visit d college was ur dream since uve left! U came! U c d long pA HILARIOUS MSG 4M A FRUSTATED VICTIM OF CHAIN MSGS... I want 2 thank all my frnds who have 4wded chain msgs 2 me in 2009 and continuing.. BCOZ OF URathways of fate lyin lonely ahead wid bundles of scatterd leaves fallen frm d tree of luv!D tree of hope..! De tree under which once friendship was made! KINDNESS: 1) I stopd drinkin Coca cola aftr i found dat its gud 4 removing toilet stains. 2)i stopd going 2 movies 4 fear of sitting on a needle infecU fell in love wid sum1! Lonely classrums wid a gentle breeze frm de window of change!Fills in d thoughts of d past! Pictures of ur frnds flash thruh urtd with AIDS. 3)4wded hundreds of msgs bt still waiting 4 free balance... 4)i smell lyk rottn egg since i stppd usin deos coz de cause cancer.. 5)i al mind like photographs!The moments u spared 2gethr..!D sadness dt they r all gone!Their voice haunt ur thoughts!Only memories wud b ther in place of ur fso donatd all my savings 2 7 yr old poor girl who was abt 2 die in hospitl abt 7000 times.. 6) made 100 wishes b4 4wdin those Ganesh  devi maas pics etriends!In d darkness of ur memories!In d darkness of ur thoughts!Ur mind will slowly wisper...!! HEAVEN WAS HERE...! ONCE...! c. Now mst of those wishs r already married. nw if u dont snd dis msg 2 at least 15 ppl in next 10 scnds  a bird wll pee on ur head 2day.... 
ham,Why a person with a broken heart does not need General Knowledge ?????????? Bcoz'Jab Dil hi toot gaya  to  'G.K'  kya karenge!! Gn..  
ham,Imagine 10years from now!U'l be a gud spouse!A parent of 2 mayb. Gettin a chance 2 visit d college was ur dream since u've left!U came! U c d long pA HILARIOUS MSG 4M  A FRUSTATED VICTIM OF CHAIN MSGS...I want 2 thank all my frnds who have 4wded chain msgs 2 me in 2009 and continuing..B'COZ OF URathways of fate lyin lonely ahead wid bundles of scatterd leaves fallen frm d tree of luv!D tree of hope..! De tree under which once friendship was made! KINDNESS:1) I stopd drinkin Coca cola aftr i foun 
ham,IRL: I'm sure ke duniya mey sab se badi tumhari Lulli hain! GUY: (excited) Achcha! Woh kaise? GIRL: Kyon ki is ke baad Lund ki category shuru hoti hai 
ham,Imagination is more important thn knwledge bcoz knwledge is limited bt imagnation encircle the world. 
ham,Imagin d world widout girls...Parks empty Theatres silent Police at rest Mobile company on loss No naach  no gaana n evrywhr karan johars Dostana....;-) 
ham,Imaandari ki misaal-  Ek Ladki Ka Gang Rape Ho Raha Tha. Aur Wo Chila-Chila K Keh Rahi Thi  Kamino Koi To CONDOM LAGAO  Nahi To Sab Ko AIDS Ho Jayega... 
ham,Im xtra notes(numericals) colect it by 2dy... 
ham,Im out . And tat donkey is cuttin and colourin his hair .  
ham,Im out . And tat donkey is cuttin and colourin his hair . 
ham,Im not thinkin anythin . Now tell wat u meant by tat im thinkin somethin 
ham,Im not tellin him to change his usual habit but wants tat some habit should be add in him.  
ham,Im just givin u time 2 miss me!  
ham,Im in blue line metro. Cn u take stuf frm my hostel at around 930 ? 
ham,irl to Ramdev - if i kiss a boy to kya hoga? Baba - narak me jaogi. Girl - Acha agar aapko kiss karu to? Baba- chalak ladki swarg me jana chahti hai. Heheh 
ham,im from tata indicom office gtk 
ham,Im feelin very borin. No one is in my room . So jus thought of disturbin u . Pallab i dont know wat he is doin  
ham,Im feelin very borin. No one is in my room . So jus thought of disturbin u . Pallab i dont know wat he is doin 
ham,ilence & smile r 2 powerful tools... Smile is d way 2 SOLVE many problems silence is d way 2 AVOID many problems... So hav a silent smile always... GudmrngB- 
ham,Il ttyl. 
ham,Il tl u wen i cum 2 tak d buk! 
ham,il jit len wo najar ham bhi rakhte h katl kar den wo jigar ham b rakte h apse wada h hamara muskurana ka warna ankho me samundar ham b rakhte  
ham,ikkumpal@gmail.com 
ham,Ik var  JATTAN di meeting si.jatt Punjab nu Azad karvan da Plan bana rae si. jatt 1 :Apan Punjab nu India kolo azad ta kralange par Punjab nu develop kida karange? jatt 2:Apan America te attack karange oh sanu jit ke apne nal mila lauga te dvlopment hoju. jatt khush hoge. Ik Buzurg jatt  chupchap baitha si.Bakian ne puchea ki hoea?  jatt:Baki ta thik hai par by chance je apan AMERICA jit lea fer.  
ham,Whts the Coolest thing about Examination Hall? Its d only Place where You can Openly say to a Girl 'dikha de na pls  main 2min me kar lunga.;-)B-) 
ham,irl take a life when they cheat boys in love. (suicide) But boys give a new life when they cheat girls... (baby) Moral: boys r always kind hearted. 
ham,Ik Onkar- God is one. Satnam- His name is true. Karta Purakh- He is maker of the whole world. Nirbhau- He is Fearless. Nirvair- He never hates any1. Akaal Murat- He is beyond the time. He is immortal. Ajooni- He neither borns nor dies. Saibhang- Neither any1 has created him nor any1 gave him birth. guruprasad-only true guru can help us to meet him. spread the golden words!  
ham,ij.....Gud nite. 
ham,IITian's luv letter- My dear luv  yesterday  I was passing by ur rectangular house in trigonometric lane. Der I saw u wit ur cute circular face  conical A couple went 2 a sex therapist & askd  Will u watch us hvng sex? The dr. lukd puzld but agreed. Whn d cupl finishd  dr. said  Thr's nthng wrng wtnose  & spherical eyes in ur triangular garden.B4 seeing u my heart was a null set  but wen a vector of magnitude 4m ur eyes at deviation of theta radianh ur intrcourse  & chrgd 300.. Dis hpnd 4 many weeks.. Finali d dr. askd  Wats exctly ur prblm? Man said: She's married  i'm married  so made a tangent to my heart it differentiated. My luv 4u is a quardratic equation with real root which only u can solve by making it a simple equation v cnt use our houses  Oberoi is 9 500 nd taj is 9 000. Bt  here v pay 300  & get 250 frm mediclaim! -Thts tax planning.  
ham,IIT-JEE question: Mom is 21 yrs older than child.After 6 yrs mom will be 5 times as old as child. Q:Where's the dad? . . . . . Sol: M=C+21 I   .     *      . *     .  * .     GooD *     . *   .    . * .      *  .  NighT     .         *       .    .*     . *     .    *      .  *  .      .* . n 6 years: M+6=(C+6)x5  C+21+6=(C+6)5 C+27=5C+30 C=-3/4 So child is -3/4 yrs old i.e child will be born in 9 months. So dad is right now on top of MOM.SweeT DreamS  
ham,IIT-JEE question: Mom is 21 yrs older than child...After 6 yrs mom will be 5 times as old as child.... Ques: Where is dad? Sol: M=C+21 In 6 years: M+6=m also gud! she lives in panchkula only! hd been fr a muvi n outn sorts wid frnz na on sat. so mommy said meet her also   wil get bck colg tmrw mrng via (C+6)x5  C+21+6=(C+6)5 C+27=5C+30 C = -3/4 So child is -3/4 yrs old i.e child will be born in 9 months So dad is right now on top of MOM!  
ham,IIT-JEE question: Mom is 21 yrs older than child...After 6 yrs mom will be 5 times as old as child.... Ques: Where is dad? Sol: M=C+21 In 6 years: M+6=(C+6)x5  C+21+6=(C+6)5 C+27=5C+30 C = -3/4 So child is -3/4 yrs old i.e child will be born in 9 months So dad is right now on top of MOM!  
ham,wht hapnd??? :-/  
ham,IIT-JEE Exam has been postponed to 12th May  2009. For further details  log on to the site.... www.may-me-kaun-se-jhande-gaad-lAn army officer married & discovers on d 1st nite tht his wife is havng periods  He sends emergency letter to general Red alert at front  extend leav oge.com all the best for tomgeneral replies-attack frm back & report  
ham,IIT was f9  but not 2 gud maths was ruthlesnd urs 
ham,IIT Mumbai Exam best question: Spell d wordCOWin 13 letters Topperz couldnt Answer but back bench Boy .! wrote .. SEE O DOUBLE YOU Think different!  
ham,Why does it take a 'million' sperms to fertilise one egg? Ans: Male Ego again... Not even one will ask for directions!!! ;-):-):-):-) Hv a gud day :)  
ham,Iit kgp me notic laga hai Mtech-phd intrigreted rs300 ka frm varne se hoga net par dekh lo.  
ham,Iim L  
ham,Iiit mail pe aa... 
ham,Iiit delhi 
ham,IIIT Delhi 
ham,ight is longer than day for those who DREAM & day is longer than night for those who make their DREAMS come true. Good Night & Sweet Dreams Tk Car 
ham,Wht did bill gate's wife say whn she saw him naked for d first time? oh shit! now i know why u call it MICRO SOFT.  
ham,iGate me apply karna hai? 27th ko hai 
ham,ife:Kal rat tum nind me muje galiya de rahe the. Husband:Tumhe galat fehmi hui h. Wife:Kaisi galat fehmi? Husband:Yehi ki mai nind me tha 
ham,ife will never Provide Warranties & Guarantees.It can only Provide Possibilities & Opportunities.Its upto us 2 convert them into success.Hv a nice life. 
ham,irl kisses a boy on his face and the boy gets a mark of her lipstick. Boy: Ye kya kiya? Girl: Kuch accha karne me daag lage to DAAG ACHCHE HAIN Na. :D ; 
ham,ife to husband: Tumhe pyar karna nahi aata.Husband: To kya ye 3 bachche internet se download kiye hain?Wife: nahi ye to sharma ji ki pen drive se liye hain 
ham,ife is-- Wat we wnt we dnt get.. Wat we gt we r nt satisfied.. Wat we xpect nvr hapens & Wat we hate gnerally repeats.. 
ham,ife is like a race btwn Cat n Rat. Rat mostly wins coz the Cat is running 4 food n Rat 4 its Life.Remember 'Purpose' is more important than 'NeeD'.. 
ham,ife is at its weakst wen there r more doubts than trust;but life is at its strongst wen u learn how 2 trust inspite of the doubts 
ham,If1=52=253=1254=6255=??Think  b4 scroling dwnAns is 1!Remember the First Line1=5Moral :Dont Complicate Simple Problems in Life! 
ham,If you were Santa claus  what would you leave under the X'mas tree for me?..rly is must. 
ham,Husband & wife was playing golf & ball goes inside a house.  They enter the house & saw broken bottle & a man.  Man - I want to thank you.I am genie that was trapped for 1000 years in bottle.I will give you each 1 wish and I will keep 1 for myself.. Husband-I want a billion dolars.. Wife-I want a house in every country of the world.. Genie-done.. Husband-And what is your wish'' genie?  Genie-Well  since I havn't loved woman in a thousand years  my wish is to sleep with your wife.. The husband said  we'll get lot of money. I guess I would not mind. The genie took the wife upstairs and made love with her for two hours. Genie looked at the wife and said  How old is your husband?? 35- she said. Genie-Really? And he still believes in genies!!!! :-P  
ham,If you try to hurt others  you will only succeed in hurting yourself. . . Good morning. Jai sri ram. :-) 
ham,If you succeed in tricking someone  never think he is a Fool  Realise its because he trusted you much more than you deserved. 
ham,If you re in a bad situation  don t worry it ll change. If you re in a good situation  don t worry it ll change. 
ham,irl kises a boy on face and boy gets mark of lipstick Girl-oh sorry U get a mark on ur face Boy-Kuch achha karne se agar dag lagte hai to daag achhe hai 
ham,If you re going through hell  keep going. 
ham,If you love two persons at the same time always choose the 2nd one bcoz if the 1st was perfect for you then the other would never have arrived at all. 
ham,If you limit your choices only to what seems possible or reasonable  then u disconnect yourself from what u truly want & all that is left is compromise. Gm 
ham,If you have the will to win  you have achieved half your success. If you dont  you have achieved half your failure. . Good morning Jai sri ram :-) 
